Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Text Area 2,Text Area 3,Text Area 4,Text Area 5,Text Area 6,Text Area 7,Text Area 8,Text Area 9,Text Area 10,Text Area 11,Text Area 12,Text Area 13,Text Area 14,Text Area 15,Text Area 16,Text Area 17,Text Area 18,Text Area 19,Text Area 20,Text Area 21,Text Area 22,Text Area 23,Text Area 24,Text Area 25,Text Area 26,Text Area 27,Text Area 28,Text Area 29,Text Area 30,Text Area 31,Text Area 32,Text Area 33,Text Area 34,Text Area 35,Text Area 36,Text Area 37,Text Area 38,Text Area 39,Text Area 40,Text Area 41,Text Area 42,Text Area 43,Text Area 44,Text Area 45,Text Area 46,Text Area 47,Text Area 48,Text Area 49,Text Area 50,Text Area 51,Text Area 52,Text Area 53,Text Area 54,Text Area 55,Text Area 56,Text Area 57,Text Area 58,Text Area 59,Text Area 60,Text Area 61,Text Area 62,Text Area 63,Text Area 64,Text Area 65,Text Area 66,Text Area 67,Text Area 68,Text Area 69,Text Area 70,Text Area 71,Text Area 72,Text Area 73,Text Area 74,Text Area 75,Text Area 76,Text Area 77,Text Area 78,Text Area 79,Text Area 80,Text Area 81,Text Area 82,Text Area 83,Text Area 84,Text Area 85,Text Area 86,Text Area 87,Text Area 88,Text Area 89,Text Area 90,Text Area 91,Text Area 92,Text Area 93,Text Area 94,Text Area 95,Text Area 96,Notes,Shape ID,property 1,SpreadsheetColumnParentKey,SpreadsheetRowParentKey
17,Swim lane,Flowchart Shapes/Containers,2,13|16,,,,,,,,Production Process,Outward Process,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jSNt4NjgL~es,,,
18,SparkFrameBlock,Lucidspark Shapes,2,,,,,,,,Inward Logistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,_QOtcTbrqRkh,,,
19,SparkFrameBlock,Lucidspark Shapes,2,,,,,,,,Sales Outward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t09taFf2fQDk,,,
20,SparkFrameBlock,Lucidspark Shapes,2,,,,,,,,Inward Logistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mH4uYHwMPVun,,,
21,SparkFrameBlock,Lucidspark Shapes,2,,,,,,,,Inward Logistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YZdvHFjnbTZ2,,,
22,SparkFrameBlock,Lucidspark Shapes,2,,,,,,,,Critical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rNmvtF.8YK-v,,,
23,SparkFrameBlock,Lucidspark Shapes,2,,,,,,,,NPD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eu6zi6FXUhNi,,,
24,SparkFrameBlock,Lucidspark Shapes,2,23,,,,,,,Creation of vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eu6zRNGQIEXy,,,
25,SparkFrameBlock,Lucidspark Shapes,2,23,,,,,,,Creation and updation of Item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2o_z0eMHC5Zq,,,
26,SparkFrameBlock,Lucidspark Shapes,2,23,,,,,,,Packaging Planning Process,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L~lAHTbV0tfi,,,
27,SparkFrameBlock,Lucidspark Shapes,2,,,,,,,,Ecom File Rate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mjYDzB2mJ6aP,,,
28,SparkFrameBlock,Lucidspark Shapes,2,,,,,,,,E-com Pricing Making,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zQCEUfIaMkOL,,,
29,SparkFrameBlock,Lucidspark Shapes,2,,,,,,,,Dicount Process,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A_CE385RxQJR,,,
30,SparkFrameBlock,Lucidspark Shapes,2,,,,,,,,Stock Process,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.0PFVMAKBrjM,,,
31,SparkFrameBlock,Lucidspark Shapes,2,,,,,,,,Staff Process,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b7PFFkVGybWP,,,
32,SparkFrameBlock,Lucidspark Shapes,2,,,,,,,,Display Process,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NbQFDB12-bQ1,,,
33,SparkFrameBlock,Lucidspark Shapes,2,,,,,,,,Communication Process,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jcQF05NEa_NB,,,
34,SparkFrameBlock,Lucidspark Shapes,2,23,,,,,,,Screening & Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQYJwCzhgDVA,,,
35,SparkFrameBlock,Lucidspark Shapes,2,,,,,,,,Organic Search Process Flow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V_dKAwt9VI9J,,,
36,SparkFrameBlock,Lucidspark Shapes,2,,,,,,,,Add title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BDgKZ59gTvvZ,,,
37,SparkFrameBlock,Lucidspark Shapes,2,,,,,,,,Supression ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kMgKe.Q0pB3W,,,
38,SparkFrameBlock,Lucidspark Shapes,2,,,,,,,,Deals & Ads ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,_AyK_S0YKIkI,,,
39,SparkFrameBlock,Lucidspark Shapes,2,,,,,,,,Pricing Check For E..Com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9-0MR8Tuqn1f,,,
40,SparkFrameBlock,Lucidspark Shapes,2,,,,,,,,Add title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kWzQeHN2UQZ2,,,
41,Process,Flowchart Shapes/Containers,2,5,,,,,,,Open Amazon.in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PkGfcQ_NJJyI,,,
42,Rectangle container,Flowchart Shapes/Containers,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QT~_LZZ~gzma,,,
43,Rectangle container,Flowchart Shapes/Containers,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mU~_Mw.nabtI,,,
44,Rectangle container,Flowchart Shapes/Containers,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GV~_ZU4UwllR,,,
45,SparkFrameBlock,Lucidspark Shapes,2,,,,,,,,Ouick Com Pricing check,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ClEfvJNd.wdb,,,
46,SparkFrameBlock,Lucidspark Shapes,2,,,,,,,,Ouick Com Availability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YgcglY1OguTQ,,,
47,SparkFrameBlock,Lucidspark Shapes,2,,,,,,,,Quick Com Visibility Check,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7WfgPRzl1bjW,,,
48,SparkFrameBlock,Lucidspark Shapes,2,,,,,,,,Quick Com Listing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yCugm86fzrFK,,,
49,Rectangle container,Flowchart Shapes/Containers,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y0~_RE0hA4L8,,,
50,Decision,Flowchart Shapes/Containers,2,49,,,,,,,Passed/Rejected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cr79fcS4JijS,,,
51,Process,Flowchart Shapes/Containers,2,49,,,,,,,"Inspection / QC Check - Specs, Quality and Quantity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cr79CfS5R2pS,,,
52,Process,Flowchart Shapes/Containers,2,49,,,,,,,Open Gate Entry > New > Voucher Type > Save,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bp79P1aOse-l,,,
53,Process,Flowchart Shapes/Containers,2,49,,,,,,,Creation of Debit Note for every rejected and Short quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nx79uY_CAZUr,,,
54,Process,Flowchart Shapes/Containers,2,49,,,,,,,Physcially move to Farm Wastage Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bz79DS8M7d.1,,,
55,Text,Standard,2,42,,,,,,,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QT~_-Ht6PtxR,,,
56,Text,Standard,2,43,,,,,,,HR and Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mU~_cJ2I~ott,,COLUMN,ROW
57,Text,Standard,2,44,,,,,,,logistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GV~_~dcuI3aS,,COLUMN,ROW
58,Process,Flowchart Shapes/Containers,2,49,,,,,,,Sales Invoice at nominal value like Plants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TO1~-udDQsNC,,,
59,Process,Flowchart Shapes/Containers,2,49,,,,,,,Sale invoice at Scrap value like packing and broken pots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WO1~HuxVJGcH,,,
60,Process,Flowchart Shapes/Containers,2,49,,,,,,,"Sales invoice at realisable value like Pots with scratches, Potting mix with printing and packing defects.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YO1~gEH6QjGV,,,
61,Process,Flowchart Shapes/Containers,2,49,,,,,,,Prepare a Scrap bag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DIua4E~Wkk.j,,,
62,Process,Flowchart Shapes/Containers,2,11,,,,,,,Gate entry in case of Sale return,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16Raytrms7MX,,,
63,Process,Flowchart Shapes/Containers,2,11,,,,,,,Sale return Inward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nSTakcTFmlNR,,,
64,User Image,User Images,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JSTaO12D4brj,,,
65,Process,Flowchart Shapes/Containers,2,11,,,,,,,MRN Select Voucher type - RTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nTTaOOdFJDTN,,,
66,User Image,User Images,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TTTadh9sUhVQ,,,
67,Decision,Flowchart Shapes/Containers,2,11,,,,,,,Is FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PXTaJ-rgv0v5,,,
68,Process,Flowchart Shapes/Containers,2,11,,,,,,,Tf to Sale return FG Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2XTaMBF~OiK1,,,
69,Decision,Flowchart Shapes/Containers,2,11,,,,,,,QC Check Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8XTaHXsDKa5z,,,
70,Decision,Flowchart Shapes/Containers,2,11,,,,,,,Quantity Check,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,~YTa9eEZ6DKZ,,,
71,Process,Flowchart Shapes/Containers,2,11,,,,,,,Tf to concerned store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QZTaOaewdjgr,,,
72,Process,Flowchart Shapes/Containers,2,11,,,,,,,Quantity Difference (Product received is same as mentioned on document but qty is not matched),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1Taw3eRq~Ot,,,
